state,month,enroll,year,eligible_pop,takeup,elig2018,takeup_static,ncsl_year,dem_house_seats,total_house_seats,dem_share_house,dem_senate_seats,total_senate_seats,dem_share_sen,dem_margin,dem_control,sen_margin,gov_dem,mood,expanded,expansion_date,post_expansion,covid,year_f,restrictive_waiver
New Mexico,2015-01-01,687829.0,2015,593395.0,115.91418869387171,585602,117.4567368280846,2015,33.0,70.0,0.4714285714285714,25.0,42.0,0.5952380952380952,-0.02857142857142858,0.0,0.09523809523809523,0.0,0.504,1,2014-01-01,1.0,0.0,2015,0.0
New York,2015-01-01,6338780.0,2015,4242651.0,149.4061142431937,3765183,168.35250770015693,2015,106.0,150.0,0.7066666666666667,31.0,63.0,0.49206349206349204,0.20666666666666667,1.0,-0.007936507936507964,1.0,0.609625,1,2014-01-01,1.0,0.0,2015,0.0
North Carolina,2015-01-01,1844304.0,2015,2416558.0,76.31945933017126,2153017,85.66137657064482,2015,45.0,120.0,0.375,15.0,50.0,0.3,-0.125,0.0,-0.2,0.0,0.47179166666666666,1,2023-12-01,0.0,0.0,2015,0.0
North Dakota,2015-01-01,86220.0,2015,118208.0,72.9392257715214,122160,70.57956777996071,2015,23.0,94.0,0.24468085106382978,15.0,47.0,0.3191489361702128,-0.25531914893617025,0.0,-0.18085106382978722,0.0,0.3237083333333334,1,2014-01-01,1.0,0.0,2015,0.0
Ohio,2015-01-01,2928588.0,2015,2446261.0,119.71690674053177,2296371,127.5311349951728,2015,34.0,99.0,0.3434343434343434,10.0,33.0,0.30303030303030304,-0.15656565656565657,0.0,-0.19696969696969696,0.0,0.4685416666666667,1,2014-01-01,1.0,0.0,2015,0.0
Oklahoma,2015-01-01,808807.0,2015,927536.0,87.19952648738162,885167,91.37337926063668,2015,29.0,101.0,0.2871287128712871,8.0,48.0,0.16666666666666666,-0.2128712871287129,0.0,-0.33333333333333337,0.0,0.309625,1,2021-07-01,0.0,0.0,2015,0.0
Oregon,2015-01-01,1053113.0,2015,881611.0,119.45325092359329,797451,132.05990085911233,2015,35.0,60.0,0.5833333333333334,18.0,30.0,0.6,0.08333333333333337,1.0,0.09999999999999998,1.0,0.51925,1,2014-01-01,1.0,0.0,2015,0.0
Pennsylvania,2015-01-01,2493851.0,2015,2377328.0,104.90142714846246,2259652,110.36438354224455,2015,83.0,203.0,0.4088669950738916,20.0,50.0,0.4,-0.09113300492610837,0.0,-0.09999999999999998,1.0,0.496625,1,2015-01-01,1.0,0.0,2015,0.0
Rhode Island,2015-01-01,267466.0,2015,202375.0,132.1635577516986,188712,141.73237525965493,2015,63.0,75.0,0.84,32.0,38.0,0.8421052631578947,0.33999999999999997,1.0,0.3421052631578947,1.0,0.5829583333333334,1,2014-01-01,1.0,0.0,2015,0.0
South Carolina,2015-01-01,983275.0,2015,1166007.0,84.32839597017858,1124024,87.47811434631288,2015,46.0,124.0,0.3709677419354839,18.0,46.0,0.391304347826087,-0.12903225806451613,0.0,-0.10869565217391303,0.0,0.4209583333333333,0,,0.0,0.0,2015,0.0
South Dakota,2015-01-01,117687.0,2015,171871.0,68.47402994106045,166237,70.79470875918116,2015,12.0,70.0,0.17142857142857143,8.0,35.0,0.22857142857142856,-0.32857142857142857,0.0,-0.27142857142857146,0.0,0.355125,1,2023-07-01,0.0,0.0,2015,0.0
Tennessee,2015-01-01,1440143.0,2015,1602238.0,89.88321335531924,1514870,95.06710146745266,2015,26.0,99.0,0.26262626262626265,5.0,33.0,0.15151515151515152,-0.23737373737373735,0.0,-0.3484848484848485,0.0,0.36654166666666665,0,,0.0,0.0,2015,0.0
